year;num;dept;insee_code;commune_name;date_alerte;covered_surface;forest_surface;surface_maquis_garrigues;other_surface_not_forest;area_surface;other_surfaces;other_wooded_land_area;natural_non_wooded_areas;non_wooded_areas;non_forested_areas;accuracy_surface;fireLargerThan1;people_type;reason;motif;RCCI_intervention;damage_or_building_affected;number_of_death;numberBuildingTotallyDestroyed;numberBuildingPartiallyDestroyed;Hygometry;average_wind_speed;wind_direction;temperature;reliable_data
1990;103;6;6070;Gréolières;26/01/1990 19:30;1000000;0;0;;;;;;;;;Non;1;Inconnue;;;;;;;;;;;
1990;1333;2B;2B318;Taglio-Isolaccio;27/02/1990 12:56;7000000;0;0;;;;;;;;;Non;;Certaine;Accidentelle;;;;;;;;;;
1990;1335;2B;2B207;Penta-di-Casinca;27/02/1990 18:40;3000000;0;0;;;;;;;;;Non;;Certaine;Accidentelle;;;;;;;;;;
1990;1272;2B;2B199;Palasca;27/02/1990 23:50;1500000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1990;189;7;7153;Mayres;28/02/1990 10:45;3100000;0;0;;;;;;;;;Non;1;Certaine;Involontaire (travaux);;;;;;;;;;
1990;1336;2B;2B054;Campile;28/02/1990 14:40;5000000;0;0;;;;;;;;;Non;;Probable;;;;;;;;;;;
1990;1302;2B;2B225;Pietra-di-Verde;01/03/1990 13:05;4000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1990;93;6;6021;Bonson;04/03/1990 14:26;1500000;0;0;;;;;;;;;Non;1;Inconnue;;;;;;;;;;;
1990;82;6;6142;Touët-de-l'Escarène;04/03/1990 15:30;1470000;0;0;;;;;;;;;Non;1;;;;;;;;;;;;
1990;9;4;4112;Manosque;25/03/1990 16:32;3500000;0;0;;;;;;;;;Non;5;Certaine;;;;;;;;;;;
1990;2904;83;83059;Forcalqueiret;18/04/1990 14:53;2060000;0;0;;;;;;;;;Non;;Certaine;Involontaire (particulier);;;;;;;;;;
1990;476;13;13014;Berre-l'Étang;30/04/1990 13:01;1000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;2956;83;83019;Bormes-les-Mimosas;21/06/1990 13:29;1500000;0;0;;;;;;;;;Non;4;Probable;;;;;;;;;;;
1990;1519;2B;2B049;Calenzana;23/06/1990 13:45;1000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1990;2978;83;83071;Londe-les-Maures (La);06/07/1990 17:03;3500000;0;0;;;;;;;;;Non;1;Probable;;;;;;;;;;;
1990;2979;83;83107;Roquebrune-sur-Argens;06/07/1990 17:18;5540000;0;0;;;;;;;;;Non;4;;;;;;;;;;;;
1990;513;13;13051;Lançon-Provence;10/07/1990 11:09;1000000;0;0;;;;;;;;;Non;;Probable;Involontaire (particulier);;;;;;;;;;
1990;522;13;13009;Barben (La);10/07/1990 16:10;30570000;0;0;;;;;;;;;Non;;Certaine;;;;;;;;;;;
1990;2659;48;48119;Prévenchères;20/07/1990 12:58;1000000;0;0;;;;;;;;;Non;;Probable;Involontaire (particulier);;;;;;;;;;
1990;901;2A;2A041;Bonifacio;28/07/1990 12:13;3000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;277;7;7131;Lanas;08/08/1990 11:25;6800000;0;0;;;;;;;;;Non;;Probable;;;;;;;;;;;
1990;958;2A;2A362;Zonza;17/08/1990 13:26;44000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;605;13;13055;Marseille;21/08/1990 15:23;29000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1990;3104;83;83043;Collobrières;21/08/1990 15:24;96000000;0;0;;;;;;;;;Non;4;;;;;;;;;;;;
1990;577;13;13050;Lambesc;21/08/1990 17:14;1400000;0;0;;;;;;;;;Non;6;;;;;;;;;;;;
1990;576;13;13042;Gémenos;21/08/1990 17:30;7700000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;307;7;7100;Gravières;21/08/1990 21:45;1060000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;2523;30;30122;Gajan;22/08/1990 11:30;1800000;0;0;;;;;;;;;Non;;Probable;;;;;;;;;;;
1990;2509;30;30354;Montagnac;22/08/1990 15:05;20000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1990;3153;83;83107;Roquebrune-sur-Argens;20/09/1990 17:41;2320000;0;0;;;;;;;;;Non;4;Inconnue;;;;;;;;;;;
1990;2232;2B;2B097;Costa;20/09/1990 20:20;2500000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;2233;2B;2B361;Zilia;20/09/1990 23:55;4000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;3170;83;83081;Montauroux;21/09/1990 13:40;7150000;0;0;;;;;;;;;Non;6;;;;;;;;;;;;
1990;2318;2B;2B030;Barrettali;21/09/1990 15:15;25000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;3169;83;83070;Lavandou (Le);21/09/1990 15:31;21890000;0;0;;;;;;;;;Non;4;Probable;;;;;;;;;;;
1990;3168;83;83148;Vidauban;21/09/1990 16:59;115800000;0;0;;;;;;;;;Non;6;;;;;;;;;;;;
1990;1099;2A;2A247;Porto-Vecchio;21/09/1990 17:33;6000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;3167;83;83072;Lorgues;22/09/1990 13:02;5760000;0;0;;;;;;;;;Non;5;;;;;;;;;;;;
1990;3171;83;83001;Adrets-de-l'Estérel (Les);24/09/1990 14:50;2500000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1990;2276;2B;2B112;Feliceto;24/09/1990 17:30;3000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1991;2332;84;84133;Tour-d'Aigues (La);18/07/1991 16:35;17820000;0;0;;;;;;;;;Non;1;Probable;Involontaire (particulier);;;;;;;;;;
1991;2169;83;83021;Bras;26/07/1991 13:56;13000000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1991;2164;83;83111;Sainte-Anastasie-sur-Issole;26/07/1991 22:37;1500000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1991;1845;34;34294;Saturargues;27/07/1991 12:10;1235000;0;0;;;;;;;;;Non;1;Inconnue;;;;;;;;;;;
1991;395;13;13008;Aurons;19/08/1991 15:58;3020000;0;0;;;;;;;;;Non;;;;;;;;;;;;;
1992;698;2A;2A139;Lecci;13/08/1992 14:10;1500000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1992;699;2A;2A362;Zonza;13/08/1992 14:45;4000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1992;703;2A;2A247;Porto-Vecchio;13/08/1992 16:05;3000000;0;0;;;;;;;;;Non;;Inconnue;;;;;;;;;;;
1992;2055;2B;2B290;Speloncato;04/09/1992 12:20;2000000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2177;2B;2B074;Casanova;04/09/1992 12:45;3870000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2209;2B;2B110;Favalello;04/09/1992 12:59;3500000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2216;2B;2B199;Palasca;04/09/1992 13:39;2375000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2217;2B;2B199;Palasca;04/09/1992 13:39;56437500;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2248;2B;2B347;Vezzani;04/09/1992 14:35;14000000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2287;2B;2B218;Piedicorte-di-Gaggio;04/09/1992 15:30;1370000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2223;2B;2B320;Tallone;04/09/1992 15:35;3000000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2250;2B;2B016;Antisanti;04/09/1992 16:50;1000000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1992;2178;2B;2B002;Aghione;04/09/1992 17:10;1700000;0;0;;;;;;;;;Oui;3;;;;;;;;;;;;
1992;2142;2B;2B350;Vignale;04/09/1992 23:11;4000000;0;0;;;;;;;;;Oui;;;;;;;;;;;;;
1993;1;4;4202;Sausses;16/01/1993 15:44;1450000;0;0;;;;;;;;;Oui;1;Certaine;Involontaire (travaux);;;;;;;;;;
1993;2451;48;48147;Saint-Étienne-du-Valdonnez;07/02/1993 14:43;1300000;0;0;;;;;;;;;Oui;1;Certaine;Involontaire (travaux);;;;;;;;;;
1993;2506;66;66122;Nohèdes;21/02/1993 13:31;1000000;0;0;;;;;;;;;Oui;1;Probable;Involontaire (travaux);;;;;;;;;;
1993;1489;2B;2B050;Calvi;05/07/1993 13:25;1400000;0;0;;;;;;;;;Oui;1;Inconnue;;;;;;;;;;;
1993;1604;2B;2B123;Ghisonaccia;11/07/1993 15:28;3500000;0;0;;;;;;;;;Oui;4;Inconnue;;;;;;;;;;;
1993;2223;2B;2B049;Calenzana;20/07/1993 13:25;7800000;0;0;;;;;;;;;Oui;1;;;;;;;;;;;;
1993;1023;2A;2A092;Conca;25/07/1993 16:05;2450000;0;0;;;;;;;;;Non;1;;;;;;;;;;;;
1993;1838;2B;2B287;Sorio;05/08/1993 10:00;4700000;0;0;;;;;;;;;Oui;1;Inconnue;;;;;;;;;;;
1993;1839;2B;2B214;Piano;05/08/1993 12:07;1120000;0;0;;;;;;;;;Oui;1;Inconnue;;;;;;;;;;;
1993;1847;2B;2B110;Favalello;06/08/1993 13:10;3000000;0;0;;;;;;;;;Oui;1;Inconnue;;;;;;;;;;;
1993;2845;83;83050;Draguignan;06/08/1993 14:05;6250000;0;0;;;;;;;;;Non;;Certaine;Involontaire (travaux);;;;;;;;;;
